First Name,Last Name,Email,Country,Application Date,Yoe,Seniority,Technology,Code Challenge Score,Technical Interview
Craig,Bradley,jillwatkins@hotmail.com,Brazil,2024-03-28,14.0,Senior,Sales,100,9.0
Joshua,Baker,qthompson@yahoo.com,Ecuador,2025-05-16,6.0,Junior,Data Engineer,10,9.0
Cynthia,Medina,,UK,2024-03-24,11.0,Senior,Client Success,6,3.0
Michael,Anderson,zmcdonald@hotmail.com,Canada,2024-01-24,7.0,Intern,DevOps,6,10.0
Mitchell,Delgado,sanchezanthony@hotmail.com,Canada,2023-09-04,14.0,Lead,Adobe Experience Manager,9,7.0
Jason,Barnett,dustindavis@hotmail.com,Colombia,2024-03-04,2.0,Lead,Adobe Experience Manager,100,9.0
Joseph,Cisneros,,Ecuador,2024-12-20,13.0,,Java Backend,9,0.0
Sharon,Davis,brownjade@yahoo.com,Spain,2023-07-27,16.0,Intern,Mulesoft,5,6.0
Deborah,Reed,jennifercraig@hotmail.com,UK,2023-09-09,,Mid-Level,React Frontend,2,8.0
Chelsea,White,benjamin74@hotmail.com,India,2021-09-22,17.0,Junior,Sales,10,6.0
George,Boyd,duncanerin@gmail.com,Colombia,2024-01-07,7.0,Senior,Sales,1,8.0
Jessica,Hester,tmoore@yahoo.com,Australia,2025-10-02,3.0,Manager,Sales,9,6.0
Frank,Clark,xlove@hotmail.com,Colombia,2024-03-15,1.0,Junior,Social Media Community Management,8,1.0
Noah,Rodriguez,grantjulie@hotmail.com,Canada,2025-09-24,5.0,Intern,React Frontend,1,4.0
Veronica,Pierce,michaelreynolds@gmail.com,Spain,2025-04-30,9.0,Senior,DevOps,0,3.0
Danielle,Castillo,zcampbell@yahoo.com,UK,2026-02-05,3.0,Senior,Data Engineer,8,9.0
Angela,Long,raymondbrown@hotmail.com,India,2021-07-31,17.0,Mid-Level,React Frontend,7,7.0
Gabrielle,Green,lsherman@yahoo.com,UK,2021-06-16,11.0,,React Frontend,7,9.0
Megan,Sims,lisean@yahoo.com,Mexico,2024-12-08,1.0,Lead,Adobe Experience Manager,6,8.0
Kimberly,Hill,michael93@hotmail.com,Mexico,2024-09-17,9.0,Junior,Python Developer,8,8.0
Jeremy,Castro,michael91@yahoo.com,Colombia,2022-09-29,3.0,Senior,Social Media Community Management,10,2.0
Antonio,Mendoza,jayowens@gmail.com,USA,2022-03-29,13.0,Senior,DevOps,2,2.0
Leslie,Washington,dawn28@gmail.com,Canada,2025-01-22,99.0,Senior,Development - CMS Backend,7,4.0
Joseph,Turner,donaldbaker@hotmail.com,Ecuador,2024-03-21,14.0,Mid-Level,React Frontend,0,
Jason,Everett,hparker@yahoo.com,Colombia,2024-11-09,7.0,Manager,DevOps,0,3.0
Sherri,Strickland,jlee@hotmail.com,Spain,2025-08-23,13.0,Trainee,Mulesoft,10,2.0
Nancy,Silva,kimberly24@yahoo.com,Argentina,2023-02-26,7.0,Lead,React Frontend,5,10.0
Leonard,Hopkins,lauren93@hotmail.com,Canada,2022-03-27,20.0,Lead,Java Backend,7,5.0
Diana,Jones,stevenray@gmail.com,UK,2025-10-22,15.0,Intern,Development - CMS Backend,7,0.0
Randall,Novak,cranedaniel@gmail.com,Germany,2023-08-10,12.0,Manager,Mulesoft,9,4.0
Robin,Smith,jason54@gmail.com,Argentina,2022-09-24,17.0,Intern,Client Success,0,10.0
Stephen,Jones,,Germany,2022-10-27,14.0,Intern,Client Success,10,10.0
Joseph,Herrera,richardbrewer@yahoo.com,Ecuador,2022-04-20,20.0,Senior,Data Engineer,0,3.0
John,Phelps,awatkins@hotmail.com,Ecuador,2023-09-24,12.0,,Data Engineer,8,0.0
Anna,Cuevas,jeffreyaguilar@hotmail.com,India,2025-07-08,8.0,Manager,Java Backend,8,3.0
Jose,Finley,gonzalezcurtis@yahoo.com,Ecuador,2022-01-23,14.0,Manager,Client Success,6,6.0
Brenda,White,wrightangela@gmail.com,India,2023-09-01,12.0,Junior,Java Backend,0,2.0
Rachael,Tucker,njenkins@hotmail.com,Argentina,2023-03-07,0.0,Senior,QA Manual,9,4.0
Reginald,Carroll,gordonstephen@gmail.com,Germany,2024-09-16,6.0,Senior,Client Success,1,7.0
Jeffrey,Barnes,edunlap@gmail.com,Colombia,2025-01-05,8.0,Mid-Level,Mulesoft,7,10.0
Whitney,Brown,leslie40@hotmail.com,Spain,2021-12-23,0.0,Intern,Adobe Experience Manager,100,2.0
William,Ortiz,xnelson@yahoo.com,France,2025-09-06,11.0,Mid-Level,QA Manual,10,2.0
Christopher,Ryan,estevens@hotmail.com,Brazil,2023-11-12,7.0,Senior,Development - CMS Backend,4,10.0
Brandon,Norton,christinefoster@hotmail.com,USA,2022-04-06,10.0,Trainee,Social Media Community Management,1,7.0
Daniel,Santiago,mary62@yahoo.com,Brazil,2024-08-09,-5.0,Lead,Java Backend,2,2.0
Courtney,Kim,ylopez@yahoo.com,UK,2022-05-07,16.0,Senior,Social Media Community Management,4,1.0
Laura,Klein,spearsdaniel@yahoo.com,Mexico,2024-10-21,7.0,Trainee,Python Developer,2,1.0
Robert,Campbell,gmiller@hotmail.com,Germany,2022-12-07,2.0,Junior,Social Media Community Management,9,7.0
Bryan,Calhoun,tamaradavis@yahoo.com,USA,2024-06-09,2.0,Manager,Data Engineer,0,5.0
Patrick,Lynn,daniel43@gmail.com,Canada,2021-07-28,0.0,Manager,Mulesoft,5,9.0
Wendy,Rivera,,Spain,2026-01-08,4.0,Mid-Level,Social Media Community Management,4,2.0
Allison,Warner,robertsimpson@hotmail.com,France,2021-08-25,9.0,Lead,Client Success,2,10.0
Tasha,Ortega,bsmith@gmail.com,Spain,2022-01-07,6.0,Lead,Python Developer,8,10.0
Michelle,Skinner,transtephanie@yahoo.com,Argentina,2024-07-06,8.0,Trainee,Mulesoft,9,9.0
Alexander,Ruiz,lindapatterson@gmail.com,USA,2025-02-02,6.0,,Mulesoft,7,9.0
Jennifer,Faulkner,gregory49@gmail.com,Australia,2022-11-13,8.0,Manager,Social Media Community Management,6,0.0
Erin,Powell,michaelwilliams@gmail.com,UK,2021-05-10,7.0,Mid-Level,DevOps,10,10.0
Amanda,Thomas,walterdavis@yahoo.com,France,2021-03-02,11.0,Junior,Development - CMS Backend,1,5.0
Joseph,Jones,vjackson@gmail.com,Ecuador,2023-02-11,1.0,Intern,DevOps,9,8.0
Danielle,Clark,mccormicksamantha@gmail.com,UK,2025-05-19,0.0,Junior,QA Manual,4,5.0
Daniel,Ingram,codyvelez@hotmail.com,Brazil,2021-08-20,15.0,Trainee,Data Engineer,4,0.0
Ryan,Rivera,marcus32@yahoo.com,Germany,2021-10-30,4.0,,Social Media Community Management,5,5.0
Shawn,Schmidt,nealthomas@yahoo.com,Germany,2024-10-16,2.0,Senior,Client Success,5,8.0
Stephanie,Sullivan,,Spain,2024-01-02,11.0,Mid-Level,Sales,2,5.0
Nancy,Stewart,gregorylewis@gmail.com,Argentina,2023-03-25,7.0,Mid-Level,Sales,10,2.0
Jose,Wilson,samanthawatkins@hotmail.com,Ecuador,2025-01-04,2.0,Intern,Client Success,3,1.0
Vincent,Hall,brian80@hotmail.com,France,2021-10-22,-5.0,Junior,Python Developer,0,10.0
Guy,Anderson,gcabrera@hotmail.com,Colombia,2021-11-27,2.0,Intern,Data Engineer,10,7.0
Rita,Carter,wilsonvictoria@hotmail.com,Argentina,2023-03-31,4.0,Mid-Level,Client Success,0,1.0
Monica,Jones,luke19@hotmail.com,Argentina,2021-07-30,14.0,Intern,Client Success,4,6.0
Kenneth,Trevino,ashlee03@yahoo.com,Ecuador,2021-04-19,13.0,Manager,Client Success,3,2.0
Danielle,Joseph,davidschneider@hotmail.com,UK,2025-06-15,2.0,Lead,Data Engineer,6,4.0
Chelsea,Martinez,alan29@yahoo.com,India,2023-05-17,0.0,Intern,Mulesoft,6,10.0
Eric,Gilbert,tammy06@yahoo.com,Brazil,2025-07-12,4.0,Lead,Client Success,3,2.0
Kathryn,May,aguilarjudith@gmail.com,Australia,2024-10-27,13.0,Lead,DevOps,9,2.0
Amber,Washington,robinmeza@hotmail.com,India,2021-08-10,6.0,Senior,Development - CMS Backend,1,6.0
Kimberly,Williams,matthew15@yahoo.com,Mexico,2025-02-02,8.0,Intern,Adobe Experience Manager,9,6.0
Alyssa,Goodman,,France,2026-02-21,14.0,Trainee,Data Engineer,3,6.0
Aaron,Dennis,yrodriguez@hotmail.com,USA,2022-04-13,14.0,Trainee,Data Engineer,7,10.0
Mario,Guerrero,gjones@yahoo.com,Canada,2025-06-30,9.0,Lead,React Frontend,1,3.0
Andrew,Simmons,charles41@gmail.com,USA,2022-05-20,,Mid-Level,Development - CMS Backend,100,10.0
Sarah,French,grahamjason@hotmail.com,Spain,2025-01-20,18.0,Trainee,Sales,6,7.0
Natasha,Mccall,tinahowell@hotmail.com,Argentina,2022-05-23,6.0,Manager,Python Developer,9,8.0
Marie,King,xwade@gmail.com,Mexico,2023-02-09,16.0,Junior,Development - CMS Backend,5,0.0
Kyle,Massey,joseph61@yahoo.com,Ecuador,2024-07-20,,Trainee,Social Media Community Management,8,6.0
Brian,Morton,veronica63@yahoo.com,USA,2022-02-18,3.0,Trainee,Python Developer,1,7.0
Natalie,Logan,,Argentina,2025-10-04,4.0,Trainee,Development - CMS Backend,3,1.0
Stacey,Garcia,john15@gmail.com,Spain,2021-12-07,6.0,Intern,QA Manual,6,5.0
Christopher,Smith,hcoleman@yahoo.com,Brazil,2021-04-04,12.0,Intern,Social Media Community Management,7,4.0
Todd,Miranda,shenson@yahoo.com,France,2023-12-26,14.0,Trainee,Sales,4,3.0
Chad,Bell,blairgregory@yahoo.com,USA,2023-01-06,10.0,Mid-Level,Java Backend,4,3.0
Kathleen,Young,morgankristin@gmail.com,Australia,2023-05-02,,Junior,Development - CMS Backend,3,9.0
Katie,Perry,yduffy@hotmail.com,Australia,2021-11-24,12.0,Mid-Level,Java Backend,8,5.0
David,Johnson,paulwilson@gmail.com,Brazil,2025-04-17,6.0,Intern,Client Success,9,0.0
Thomas,Forbes,franconancy@yahoo.com,France,2025-10-15,18.0,Manager,Java Backend,3,0.0
Andrea,Briggs,hward@gmail.com,India,2023-09-27,1.0,Trainee,Sales,2,3.0
Joseph,Cook,lindseystephen@hotmail.com,Ecuador,2022-01-26,9.0,Mid-Level,Sales,8,2.0
Monique,Holt,jmartin@gmail.com,Argentina,2025-10-24,12.0,Lead,Adobe Experience Manager,6,4.0
Rodney,Martin,melissaharrison@yahoo.com,Germany,2022-04-30,20.0,Junior,QA Manual,8,9.0
Jason,Hughes,matthewthompson@gmail.com,Colombia,2023-10-13,5.0,Mid-Level,Data Engineer,3,9.0
Amber,Miller,,India,2025-04-16,11.0,Intern,Data Engineer,2,4.0
Jessica,Anderson,vegakimberly@gmail.com,Australia,2024-08-07,11.0,Intern,Sales,9,0.0
James,Cooley,thompsonheather@yahoo.com,Colombia,2022-04-19,19.0,Manager,Mulesoft,7,4.0
Larry,Frye,harrisonjennifer@hotmail.com,Canada,2024-03-02,10.0,Manager,Mulesoft,3,5.0
Wanda,Brooks,aalvarez@gmail.com,Spain,2023-02-06,6.0,Mid-Level,QA Manual,9,
Debra,Moore,heathersimmons@yahoo.com,UK,2024-04-06,0.0,Junior,Adobe Experience Manager,2,3.0
Samuel,Barrett,umiller@yahoo.com,Germany,2022-10-19,0.0,Lead,QA Manual,3,9.0
Zachary,Moss,raymond28@hotmail.com,France,2022-02-13,19.0,Trainee,Adobe Experience Manager,1,
David,Ward,hannah14@gmail.com,Brazil,2025-06-08,12.0,Mid-Level,Data Engineer,10,9.0
Jeffrey,Tucker,catherinemoore@yahoo.com,Colombia,2025-04-14,8.0,Senior,Mulesoft,3,10.0
Matthew,Chavez,gwatson@gmail.com,Canada,2021-12-31,2.0,Senior,Social Media Community Management,6,8.0
Brianna,Bauer,amanda79@gmail.com,India,2023-05-12,6.0,Trainee,Adobe Experience Manager,2,8.0
Jerry,Fitzpatrick,davilajames@yahoo.com,Colombia,2024-12-05,5.0,Manager,Client Success,0,8.0
Jeffrey,Gillespie,moraleswilliam@yahoo.com,Colombia,2021-12-08,7.0,Manager,Data Engineer,9,8.0
Chad,Wilson,gina23@yahoo.com,USA,2024-08-29,8.0,Intern,DevOps,7,9.0
Crystal,Daniels,harrismichael@yahoo.com,UK,2022-05-11,4.0,Senior,DevOps,5,6.0
Jeremy,Taylor,fstrong@gmail.com,Colombia,2025-03-12,0.0,Intern,Development - CMS Backend,2,1.0
Rebecca,Shepard,david97@gmail.com,Argentina,2021-05-21,18.0,Manager,Java Backend,7,6.0
Michele,White,mendozaluis@yahoo.com,Argentina,2022-09-29,9.0,Junior,Sales,5,0.0
Chad,Yates,robertshelton@hotmail.com,USA,2021-09-21,11.0,Trainee,Social Media Community Management,0,5.0
John,Ford,,Ecuador,2024-05-03,14.0,Senior,Social Media Community Management,8,5.0
Elizabeth,Martinez,paulmiller@gmail.com,UK,2026-02-11,8.0,Intern,Client Success,10,4.0
Jason,Lewis,christopher81@gmail.com,Colombia,2025-01-30,19.0,Junior,Data Engineer,8,6.0
David,Miller,bestjennifer@gmail.com,Brazil,2024-08-03,16.0,Intern,Mulesoft,8,
Selena,Williams,troy@gmail.com,Spain,2025-05-31,16.0,Intern,DevOps,5,6.0
Ashley,Thomas,maurice12@gmail.com,India,2023-01-05,19.0,Junior,Sales,5,5.0
Thomas,Francis,gabriel29@hotmail.com,France,2025-12-17,11.0,Trainee,QA Manual,3,2.0
Kristen,Burke,ihill@hotmail.com,Mexico,2023-09-12,6.0,Lead,Adobe Experience Manager,7,5.0
Lindsey,Williams,davidcook@yahoo.com,Mexico,2025-10-23,1.0,Intern,React Frontend,8,0.0
James,Cortez,gatesadam@yahoo.com,Colombia,2023-09-11,2.0,Trainee,Mulesoft,6,1.0
Collin,Cantrell,higginsadam@gmail.com,Brazil,2026-01-07,16.0,Manager,Sales,6,9.0
Ryan,King,alexandrabeasley@hotmail.com,Germany,2023-03-09,4.0,Junior,Social Media Community Management,1,3.0
Rodney,Beltran,robin28@yahoo.com,Germany,2021-05-02,16.0,Manager,Sales,1,4.0
Stuart,Edwards,kaitlyn29@hotmail.com,France,2021-04-20,16.0,Mid-Level,Adobe Experience Manager,9,2.0
Jessica,Nash,jillianhuff@hotmail.com,Australia,2023-08-01,16.0,Trainee,DevOps,10,3.0
Emily,Ward,susan20@yahoo.com,UK,2022-10-23,1.0,Mid-Level,QA Manual,1,1.0
Tracey,Cohen,,Spain,2021-04-07,1.0,Lead,Data Engineer,3,7.0
Corey,Wright,davidjohnson@yahoo.com,Brazil,2022-02-25,4.0,Junior,DevOps,8,4.0
Richard,Parks,kimjohnson@hotmail.com,Germany,2023-04-22,0.0,Lead,Client Success,4,0.0
Matthew,Robinson,nguyencaroline@hotmail.com,Canada,2022-07-28,0.0,Junior,Social Media Community Management,1,3.0
Michelle,Castro,ocalderon@gmail.com,Argentina,2025-11-20,18.0,Senior,Data Engineer,3,9.0
John,Perez,keith70@hotmail.com,Ecuador,2024-06-06,1.0,Junior,Java Backend,6,1.0
James,Obrien,lawrence93@hotmail.com,Colombia,2022-05-07,20.0,Lead,Client Success,4,8.0
Shane,Lopez,charles75@gmail.com,Germany,2025-01-27,11.0,Junior,Data Engineer,10,4.0
Robert,Gamble,mitchellrachel@yahoo.com,Germany,2025-06-02,5.0,Manager,React Frontend,7,5.0
Joshua,Mccarthy,graynichole@yahoo.com,Ecuador,2022-06-18,3.0,Lead,React Frontend,0,
John,Jones,rlewis@hotmail.com,Ecuador,2023-05-15,10.0,Intern,Python Developer,4,8.0
Sandra,Conner,derekflynn@hotmail.com,Spain,2024-10-15,16.0,Trainee,Development - CMS Backend,3,2.0
Scott,Walters,jenniferwright@hotmail.com,Germany,2022-12-27,5.0,Lead,Data Engineer,2,8.0
Michelle,Perry,monicahenson@gmail.com,Argentina,2025-05-04,,Mid-Level,Development - CMS Backend,6,3.0
Andrea,Carpenter,wolfemichelle@yahoo.com,India,2021-07-25,19.0,Lead,Sales,9,0.0
Brent,Barber,slewis@yahoo.com,USA,2024-10-12,1.0,Trainee,React Frontend,10,7.0
Yvette,Baker,mcdanielmatthew@hotmail.com,Spain,2023-07-31,,Junior,QA Manual,0,1.0
Mary,Holmes,lromero@yahoo.com,Mexico,2022-09-20,10.0,Senior,Python Developer,5,9.0
Tanya,Howard,ernestwilliams@yahoo.com,Spain,2024-01-15,15.0,Mid-Level,React Frontend,7,3.0
Sara,Palmer,bdavis@yahoo.com,Spain,2025-10-07,15.0,Senior,Mulesoft,1,2.0
Melinda,Smith,butlerderek@hotmail.com,Argentina,2021-04-27,0.0,Intern,Adobe Experience Manager,5,8.0
Gabriel,Nelson,rebeccamartin@yahoo.com,Colombia,2025-01-12,8.0,Junior,Client Success,10,4.0
Todd,Burke,jacob98@gmail.com,France,2022-08-20,5.0,Lead,Social Media Community Management,0,1.0
Jason,Hess,craigmichael@gmail.com,Colombia,2025-03-16,15.0,Trainee,Python Developer,5,3.0
Richard,Crawford,emalone@hotmail.com,Germany,2025-09-15,2.0,Senior,Mulesoft,5,4.0
Brian,Taylor,klewis@gmail.com,USA,2025-04-30,19.0,,Development - CMS Backend,4,5.0
Nicholas,Hooper,,Canada,2026-02-17,3.0,Manager,Data Engineer,6,7.0
Tricia,Chavez,uyoung@yahoo.com,Spain,2025-06-13,18.0,Senior,Sales,4,8.0
Joseph,Stewart,robert62@yahoo.com,Ecuador,2021-10-16,2.0,Mid-Level,Data Engineer,7,8.0
Kristen,Nelson,kleinbryan@hotmail.com,Mexico,2024-04-15,18.0,Junior,Sales,1,0.0
Spencer,Rogers,thomasaaron@hotmail.com,Germany,2024-12-09,19.0,Mid-Level,React Frontend,5,0.0
Rodney,Thomas,hendersonerik@yahoo.com,Germany,2024-03-31,6.0,Intern,Development - CMS Backend,4,2.0
Susan,Rodriguez,mackenziemurray@gmail.com,Spain,2023-02-02,19.0,Intern,Adobe Experience Manager,9,7.0
Wendy,Holland,catherine28@gmail.com,Spain,2024-12-10,8.0,Lead,React Frontend,1,4.0
Angela,Owens,sloanmaria@yahoo.com,India,2025-03-04,0.0,Senior,Data Engineer,10,9.0
Jennifer,Garrett,djenkins@gmail.com,Australia,2024-05-04,7.0,Lead,Mulesoft,6,5.0
Eric,Green,bcarpenter@gmail.com,Colombia,2024-07-27,6.0,Junior,React Frontend,3,10.0
Kenneth,Evans,davidberry@yahoo.com,Ecuador,2025-11-19,17.0,Mid-Level,QA Manual,5,7.0
Tanya,Sweeney,padillathomas@hotmail.com,Spain,2026-02-01,7.0,Trainee,Data Engineer,4,3.0
Beth,Fox,egillespie@hotmail.com,India,2023-09-30,0.0,Senior,Adobe Experience Manager,3,8.0
Amy,Bailey,martinezchristopher@gmail.com,India,2021-11-21,10.0,,Python Developer,1,9.0
Julie,Weaver,emilydean@hotmail.com,Australia,2021-11-16,,Senior,DevOps,6,3.0
Brian,Mendez,danielhale@gmail.com,USA,2021-06-14,9.0,Lead,Social Media Community Management,4,9.0
Breanna,Johnson,kim52@gmail.com,India,2024-02-15,2.0,Intern,Adobe Experience Manager,2,9.0
Wesley,Brown,,France,2024-01-05,6.0,Intern,Sales,5,4.0
Melissa,Ross,andrew58@gmail.com,Argentina,2024-06-17,15.0,Mid-Level,React Frontend,7,5.0
Eric,Li,cassandra97@gmail.com,Colombia,2024-07-30,15.0,Trainee,Client Success,100,5.0
Susan,Berry,margaret88@hotmail.com,Spain,2021-05-24,19.0,Lead,Mulesoft,9,10.0
Christopher,Mcdonald,janetbowman@hotmail.com,Brazil,2024-03-30,16.0,Senior,QA Manual,9,7.0
Jacob,Gonzalez,grahamjulie@hotmail.com,Colombia,2022-05-20,,Junior,React Frontend,1,10.0
Brooke,Brown,perezkara@hotmail.com,India,2024-08-05,0.0,Intern,Python Developer,10,8.0
Emma,Butler,benjamin53@yahoo.com,UK,2024-09-08,15.0,Mid-Level,React Frontend,9,0.0
Joe,Weeks,uwhite@yahoo.com,Ecuador,2021-10-26,11.0,Manager,Social Media Community Management,3,2.0
David,Simmons,rita36@yahoo.com,Brazil,2021-10-01,4.0,Mid-Level,Python Developer,2,
Pamela,Sullivan,leah80@yahoo.com,Argentina,2024-09-06,4.0,Mid-Level,Client Success,6,2.0
John,Mercer,nicole04@hotmail.com,Ecuador,2026-02-10,8.0,Manager,React Frontend,9,4.0
Brooke,Shaw,burnettkristin@hotmail.com,India,2024-05-15,8.0,Senior,React Frontend,7,
Christine,Patel,dstewart@yahoo.com,UK,2022-11-24,,Senior,Social Media Community Management,7,4.0
Robert,Knight,coffeycharles@gmail.com,Germany,2026-02-19,18.0,Senior,Social Media Community Management,3,2.0
Brandy,Tran,edward81@hotmail.com,India,2021-12-12,15.0,Senior,QA Manual,9,2.0
Alexandra,Thompson,paul59@yahoo.com,France,2021-12-10,15.0,Junior,QA Manual,1,9.0
Sarah,Adams,,Spain,2023-02-23,2.0,Junior,Social Media Community Management,5,
James,Malone,,Colombia,2024-04-16,,Trainee,Mulesoft,2,2.0
Jennifer,Price,lydiareeves@gmail.com,Australia,2023-10-10,0.0,Mid-Level,Java Backend,7,7.0
John,Benjamin,averymitchell@hotmail.com,Ecuador,2023-11-14,19.0,Manager,Social Media Community Management,2,4.0
Randy,Sanchez,dylan59@yahoo.com,Germany,2021-07-17,10.0,Junior,QA Manual,1,0.0
Emily,Thomas,,UK,2021-06-14,16.0,Intern,Sales,8,1.0
Kevin,Moreno,fvasquez@hotmail.com,Ecuador,2023-03-18,7.0,,Data Engineer,8,6.0
Leslie,Ramirez,april31@yahoo.com,Canada,2021-08-05,3.0,Junior,React Frontend,8,0.0
Karen,Taylor,fcombs@hotmail.com,Australia,2023-09-26,5.0,Intern,DevOps,2,1.0
Charles,Hickman,jessica26@gmail.com,USA,2024-02-26,7.0,Manager,Client Success,1,0.0
Stephen,Riley,mcollins@gmail.com,Germany,2025-11-28,99.0,Lead,Client Success,3,
Yolanda,Thompson,walkerandrea@gmail.com,Spain,2022-09-22,2.0,Junior,Client Success,1,6.0
Wendy,Torres,colekrystal@yahoo.com,Spain,2022-09-07,15.0,Mid-Level,Social Media Community Management,7,1.0
Charles,Sanchez,nicholas95@hotmail.com,USA,2025-02-18,2.0,Junior,Mulesoft,9,9.0
Jason,Bradley,fmadden@yahoo.com,Colombia,2025-05-08,17.0,Senior,Social Media Community Management,0,2.0
Joseph,Williams,dleblanc@hotmail.com,Ecuador,2022-12-10,13.0,,Mulesoft,1,10.0
Sarah,Black,hopkinsmelanie@hotmail.com,Spain,2023-08-10,17.0,Senior,Sales,5,10.0
Nicole,Jennings,moorejohn@yahoo.com,Argentina,2026-02-20,1.0,,QA Manual,8,10.0
Natasha,Thomas,christianhart@yahoo.com,Argentina,2023-06-02,2.0,Junior,Client Success,9,6.0
Mike,Johnson,sarahhernandez@gmail.com,Canada,2021-05-13,15.0,Intern,Python Developer,4,0.0
